train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/gradient_layer_0,train/gradient_layer_1,train/gradient_layer_2,train/gradient_layer_3,train/gradient_layer_4,train/gradient_layer_5,train/gradient_layer_6,train/gradient_layer_7,train/gradient_layer_8,train/gradient_layer_9,train/gradient_layer_10,train/gradient_layer_11,train/n_updates,train/clip_range
0.0003,-0.573127580806613,-0.007835068812710233,39.670828918615975,0.007405986,0.07356770833333333,10.044090270996094,3.7691994,0.090603925,11.905603,0.06635356,4.4458933,1.9381896,21.165821,1.1369807,0.71398854,0.013426814,7.2950635,0.4850381,82,0.2
0.0003,-0.5732978470623493,-0.008625993326859316,36.91927118599415,0.0073773526,0.080078125,11.443852424621582,3.7736254,0.0917232,11.909908,0.06740343,4.4592676,1.945347,21.22301,1.13994,0.71482474,0.013794213,7.3742294,0.49388757,83,0.2
0.0003,-0.5737248130142689,-0.009030879157944583,34.55139667987824,0.007044982,0.08310546875,14.643301963806152,3.7777612,0.09100282,11.914566,0.06815136,4.4711223,1.9506495,21.268604,1.1422743,0.7146875,0.014141019,7.450933,0.5025139,84,0.2
0.0003,-0.5738717292745908,-0.009604266784056866,32.503423069914184,0.007835187,0.086669921875,6.535224914550781,3.782228,0.091719344,11.919736,0.06797591,4.4860783,1.9518,21.302284,1.1425908,0.7152237,0.014173715,7.518986,0.51020783,85,0.2
0.0003,-0.5742519875722272,-0.01011312086484395,30.704417809844017,0.008483808,0.09151785714285714,4.201345920562744,3.7824852,0.09251418,11.922444,0.07187501,4.5037622,1.9510303,21.331923,1.1419414,0.7134969,0.015398497,7.5850687,0.5176871,86,0.2
0.0003,-0.5749129706528038,-0.01025870713419863,29.11714662052691,0.0091705695,0.09521484375,22.143810272216797,3.7855623,0.094971396,11.927321,0.07210897,4.5181365,1.9500092,21.35868,1.140728,0.7128771,0.015504409,7.6469655,0.5246878,87,0.2
0.0003,-0.5754578301890029,-0.010213425551127229,27.718373538719284,0.008763762,0.09684244791666667,4.693964004516602,3.7959278,0.0954244,11.937621,0.06941635,4.53325,1.9489545,21.379517,1.1400316,0.72020674,0.014569123,7.695731,0.530189,88,0.2
0.0003,-0.5757821448147297,-0.010287601480376907,26.483052391558886,0.00889365,0.098388671875,17.265775680541992,3.8017683,0.094882615,11.9438,0.07231102,4.5434465,1.9565591,21.395002,1.1447562,0.7224387,0.015638975,7.7373056,0.5349644,89,0.2
0.0003,-0.570997541770339,-0.001441442349459976,61.92192029953003,0.00012322729,0.0,42.89338302612305,3.806276,0.09359766,11.945539,0.07618264,4.550023,1.9622518,21.445362,1.1483687,0.7246152,0.017021485,7.812041,0.5435043,90,0.2
0.0003,-0.5666517410427332,-0.0016165562119567767,57.330775171518326,0.0015435452,0.0029296875,36.32883834838867,3.8118885,0.09230521,11.947659,0.07947614,4.5545506,1.9677665,21.509144,1.1516815,0.73022956,0.018187203,7.896916,0.5532353,91,0.2
0.0003,-0.5659776777029037,-0.0017584201511150848,53.211195369561516,0.0012001384,0.0027669270833333335,11.058727264404297,3.8144412,0.092612475,11.9478,0.080076404,4.5551095,1.980039,21.569582,1.1582199,0.7291,0.018233739,7.9819293,0.56302804,92,0.2
0.0003,-0.5649987733922899,-0.002079672907711938,49.71626915037632,0.0017669493,0.003662109375,15.623810768127441,3.8175623,0.09333201,11.94839,0.08119122,4.558145,1.987259,21.624138,1.1619129,0.7292622,0.018445387,8.062954,0.57235265,93,0.2
